Zipcode,Food_Stamp,With_Health_Coverage,With_Private_Insurance,With_public_coverage,No_health_insurance_coverage,Below_Poverty_Level
ZCTA5 55603,8.7,88.4,84.8,5.1,11.6,3.3
ZCTA5 55604,4,91,76.5,16.6,9,2.2
ZCTA5 55605,13,96.5,83.1,18,3.5,10
ZCTA5 55606,0,90.3,90.3,0,9.7,18.3
ZCTA5 55607,14,82.1,66.7,30.8,17.9,40.4
ZCTA5 55609,0,84.4,84.4,7.8,15.6,20.9
ZCTA5 55612,9.4,79.4,71.7,7.7,20.6,7.5
ZCTA5 55613,0,91.2,79.2,12,8.8,35.8
ZCTA5 55614,5.2,85.3,79.8,8.1,14.7,4
ZCTA5 55615,1.4,84.3,79.1,17.9,15.7,16
ZCTA5 55616,8.9,91.4,78.7,17.4,8.6,4
ZCTA5 55702,2.1,85.7,81.7,7.4,14.3,5.6
ZCTA5 55703,2.8,85.2,78.6,8.9,14.8,1.8
ZCTA5 55704,12.1,86.4,77.2,12.9,13.6,4.1
ZCTA5 55705,13.1,83.7,70.2,15.3,16.3,3.1
ZCTA5 55706,6.2,83.1,73,10.1,16.9,4.2
ZCTA5 55707,6.2,88.4,81.5,10.4,11.6,2.6
ZCTA5 55708,5.8,84.5,69.8,14.7,15.5,5.2
ZCTA5 55709,9.7,87.7,76.7,13.5,12.3,2.9
ZCTA5 55710,1.9,94.7,92.8,2,5.3,1.4
ZCTA5 55711,9.6,90.2,76.2,16.4,9.8,7.2
ZCTA5 55712,12.9,85.4,80,11.2,14.6,9.5
ZCTA5 55713,8.9,90.8,86.3,5.6,9.2,3.3
ZCTA5 55716,23.6,77.5,53.6,23.8,22.5,18.4
ZCTA5 55717,1.9,91.3,80,13.9,8.7,4.7
ZCTA5 55718,3.7,91,84.4,7.6,9,2.9
ZCTA5 55719,13.1,84.3,73.6,14.4,15.7,7.5
ZCTA5 55720,8.5,92.5,83.6,11.3,7.5,2.6
ZCTA5 55721,6.9,91.8,78.9,13.6,8.2,2
ZCTA5 55722,13.5,92.1,80.1,16.4,7.9,8
ZCTA5 55723,7.8,86.7,79.1,9.6,13.3,1.8
ZCTA5 55724,7.7,84.9,74.3,11.6,15.1,2.6
ZCTA5 55725,8.5,94.7,94.7,0,5.3,42.7
ZCTA5 55726,2.4,94.3,88.6,8.6,5.7,3.8
ZCTA5 55731,6.4,86.1,74.3,13.4,13.9,2.5
ZCTA5 55732,4.4,93,84.1,11.1,7,2.6
ZCTA5 55733,4.9,95.1,87.4,12,4.9,0.5
ZCTA5 55734,14,83.4,76.7,8.9,16.6,5.1
ZCTA5 55735,9.2,86.8,75.2,14.1,13.2,3.8
ZCTA5 55736,6.1,84.6,70.9,17.8,15.4,4.3
ZCTA5 55738,5.3,90.5,84.6,10.4,9.5,7.7
ZCTA5 55741,5.2,93.2,82,14.2,6.8,2.1
ZCTA5 55742,10.6,89.4,82.4,7.6,10.6,14
ZCTA5 55744,14.7,87.7,76.3,14.7,12.3,2.8
ZCTA5 55746,15.8,89.8,79.8,13.6,10.2,4.3
ZCTA5 55748,14.6,85.9,76.9,12.5,14.1,6.2
ZCTA5 55749,4.6,88.4,77.3,16.1,11.6,9.5
ZCTA5 55750,8.6,89.9,84.6,6.6,10.1,2.6
ZCTA5 55751,6.5,90.1,84.8,7.6,9.9,3.4
ZCTA5 55752,7.1,91.3,85,9.2,8.7,6.5
ZCTA5 55753,17.7,84.2,69.3,17.7,15.8,11
ZCTA5 55756,10.9,98.7,89.5,13.2,1.3,5
ZCTA5 55757,3.7,81,73.2,10.3,19,4.9
ZCTA5 55758,19.1,96.7,76.7,20,3.3,10.3
ZCTA5 55760,14.8,81,58.9,29,19,3.4
ZCTA5 55763,2.4,94.3,82.8,14.9,5.7,10.1
ZCTA5 55764,22.5,91.2,60.2,36.3,8.8,13.8
ZCTA5 55765,16,88.1,81.5,12.5,11.9,5.2
ZCTA5 55766,47.1,100,100,0,0,49.2
ZCTA5 55767,6.2,92.5,72.1,23.4,7.5,3.7
ZCTA5 55768,11.4,88.7,83.3,7.6,11.3,5.9
ZCTA5 55769,12.5,88.6,78.9,12.9,11.4,5.5
ZCTA5 55771,10.4,84.5,68.7,18.2,15.5,8.6
ZCTA5 55772,27.3,60,32.3,27.7,40,41.9
ZCTA5 55775,4.6,97,93.2,10.5,3,5
ZCTA5 55779,5.8,92.5,87.1,8.6,7.5,2.4
ZCTA5 55780,3.6,38.8,38.8,2.9,61.2,11.9
ZCTA5 55781,1.6,97,94.1,5.5,3,1.7
ZCTA5 55782,0.9,84.9,74.4,12.6,15.1,8.1
ZCTA5 55783,8.8,87.4,77.4,12.7,12.6,3.4
ZCTA5 55784,5,100,100,10.3,0,7.7
ZCTA5 55785,4.9,90.5,52.4,41.3,9.5,11.6
ZCTA5 55786,16.5,94.3,82.1,14.3,5.7,7.8
ZCTA5 55787,10,88.9,74.9,18.1,11.1,9.4
ZCTA5 55790,6.1,84.4,80.9,4.7,15.6,3.1
ZCTA5 55792,16.3,89.4,82.8,11.1,10.6,4.6
ZCTA5 55793,1.7,86.2,80.3,11.3,13.8,4.7
ZCTA5 55795,12.8,93.7,82,14.6,6.3,4
ZCTA5 55797,7.1,90.3,83.7,10.2,9.7,5.4
ZCTA5 55798,6.9,81,71.1,11.4,19,9.2
ZCTA5 55802,14.4,89.3,79.6,14.5,10.7,3.7
ZCTA5 55803,4.1,94.9,91.5,5.5,5.1,1.6
ZCTA5 55804,4.9,94.9,90.3,6.9,5.1,1.6
ZCTA5 55805,23.3,84.9,74.1,16,15.1,5.2
ZCTA5 55806,30.2,86.6,68.4,21.9,13.4,6.5
ZCTA5 55807,21,87.1,74.6,15.7,12.9,4.3
ZCTA5 55808,19.4,83.7,73.8,12.9,16.3,4.2
ZCTA5 55810,7.3,92.8,86.9,7.8,7.2,1.4
ZCTA5 55811,5.3,93.7,89.5,5.8,6.3,1.8
ZCTA5 55812,7.7,94.7,87.9,9,5.3,3.4
ZCTA5 55814,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 55901,7.4,92.7,87.3,7.2,7.3,1.2
ZCTA5 55902,3.5,95.3,92.3,4.4,4.7,1.1
ZCTA5 55904,12.6,87.4,80.4,9.7,12.6,2.7
ZCTA5 55905,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 55906,6.6,91.3,84.5,7.7,8.7,1.2
ZCTA5 55909,4.3,94.9,87.6,8.9,5.1,3.6
ZCTA5 55910,4.8,83.4,77.5,6.3,16.6,4
ZCTA5 55912,13.2,88.4,79.9,10.8,11.6,2.8
ZCTA5 55917,6.3,91.8,86.7,6.8,8.2,2.7
ZCTA5 55918,11.1,88.5,80.1,10,11.5,3.6
ZCTA5 55919,5.6,92.7,83.1,10.4,7.3,3.9
ZCTA5 55920,6.2,90.5,85.4,6.5,9.5,1.7
ZCTA5 55921,10.9,94.6,85.4,12.6,5.4,3.1
ZCTA5 55922,7.9,74.6,71.6,6,25.4,6.7
ZCTA5 55923,5.8,93.4,88.2,6.3,6.6,1.4
ZCTA5 55924,6.5,87.6,80.7,7.6,12.4,3.1
ZCTA5 55925,1.8,94.6,92.9,3.8,5.4,1.9
ZCTA5 55926,10.5,94.6,88.1,11.9,5.4,5
ZCTA5 55927,10.7,85.1,75,10.9,14.9,3.2
ZCTA5 55929,4.6,95.2,87.4,8.4,4.8,3.7
ZCTA5 55931,3.9,95.9,89.8,6.8,4.1,9.9
ZCTA5 55932,4.6,92.9,86.3,8.2,7.1,4.2
ZCTA5 55933,15.8,94.4,74.2,20.2,5.6,4.5
ZCTA5 55934,5.2,93.6,87.8,6.5,6.4,2.5
ZCTA5 55935,2.5,81.7,78.2,4.7,18.3,2.2
ZCTA5 55936,8.7,89.5,85.7,6,10.5,3.3
ZCTA5 55939,7.6,79.5,70.4,10.4,20.5,3
ZCTA5 55940,4.8,91.3,87.6,5,8.7,4
ZCTA5 55941,3.3,90,87.7,5.7,10,8.9
ZCTA5 55943,9.3,90.5,83.8,10.2,9.5,2.3
ZCTA5 55944,4,95.6,93.6,3.8,4.4,1.3
ZCTA5 55945,2.6,95.9,90.1,7.8,4.1,2.6
ZCTA5 55946,5.7,89.2,84.5,8.1,10.8,2
ZCTA5 55947,6.1,93.9,88.8,8,6.1,4.2
ZCTA5 55949,5.7,88.5,82.8,8.6,11.5,3.2
ZCTA5 55950,10.9,98.3,79.3,19,1.7,31.1
ZCTA5 55951,5,93.3,85.6,12,6.7,2.7
ZCTA5 55952,6.5,90.9,84.5,9.5,9.1,3.6
ZCTA5 55953,15,88.2,85.3,4.2,11.8,3.2
ZCTA5 55954,9.7,89.1,83.5,7.7,10.9,4.9
ZCTA5 55955,1.5,96.4,94.1,4.3,3.6,1.6
ZCTA5 55956,2.1,94,92.1,3.8,6,1.6
ZCTA5 55957,6.6,92.4,87.2,7.9,7.6,4.9
ZCTA5 55959,12,87.4,72.4,20.1,12.6,5.4
ZCTA5 55960,3.6,92.1,88.2,7.5,7.9,3.3
ZCTA5 55961,6.8,90.7,83.9,11.4,9.3,4
ZCTA5 55962,4.6,89.3,83.9,6.8,10.7,2.9
ZCTA5 55963,5.1,90.5,87.6,3.9,9.5,3.6
ZCTA5 55964,8.8,93.2,83.5,11.5,6.8,4.9
ZCTA5 55965,3.4,91.7,84.5,7.9,8.3,2
ZCTA5 55967,5.2,95,90.3,6.3,5,3.8
ZCTA5 55968,10.3,78.9,59.6,21.1,21.1,15.9
ZCTA5 55969,5.3,95.9,83.1,14.1,4.1,3.5
ZCTA5 55970,4.2,90.3,85.6,7.6,9.7,3.9
ZCTA5 55971,9.9,92.9,84.2,13,7.1,3
ZCTA5 55972,6.1,86.2,80.9,8.1,13.8,4.9
ZCTA5 55973,6.5,90.2,88,6,9.8,5
ZCTA5 55974,8.3,89.8,81.6,10.3,10.2,3.4
ZCTA5 55975,10.1,90.9,84.2,10,9.1,2.9
ZCTA5 55976,10.5,91.5,86.1,6.8,8.5,4.1
ZCTA5 55977,6.5,99,93.3,7.6,1,5.2
ZCTA5 55979,1.5,88,83.8,8.7,12,5.4
ZCTA5 55981,7.3,89.5,78.9,13.4,10.5,2.5
ZCTA5 55982,4.9,89.4,83.3,7.7,10.6,5.8
ZCTA5 55983,9.6,86.2,76,11.1,13.8,6
ZCTA5 55985,5.2,91,86,7.5,9,3.2
ZCTA5 55987,6.5,89.9,83.1,8.7,10.1,1.5
ZCTA5 55990,13.5,88.3,75.2,15.2,11.7,7.7
ZCTA5 55991,4,89.1,86.1,4.1,10.9,4
ZCTA5 55992,5.5,93.2,89.4,6.1,6.8,3.7
ZCTA5 56001,9.4,91.4,84,9.5,8.6,2.2
ZCTA5 56003,6.5,92.7,86.6,8.2,7.3,2.7
ZCTA5 56007,12.9,87.5,75.2,14.8,12.5,2.3
ZCTA5 56009,2.3,93.2,89.2,6.6,6.8,1.7
ZCTA5 56010,3.8,91.1,87.5,5.1,8.9,2.1
ZCTA5 56011,6.6,95.4,91.5,5.8,4.6,2.2
ZCTA5 56013,7,90.3,82.8,10.1,9.7,4.3
ZCTA5 56014,14.5,87.8,71,19.5,12.2,6.4
ZCTA5 56016,11.3,86.5,82.4,5.5,13.5,5.5
ZCTA5 56017,3.7,95.2,92.4,6.1,4.8,1.8
ZCTA5 56019,4.8,83.6,80.2,5.8,16.4,3.3
ZCTA5 56020,6.7,100,98.1,5.8,0,6.8
ZCTA5 56021,1.2,95.5,93.4,4.6,4.5,1.6
ZCTA5 56022,2.6,60,60,7.5,40,31
ZCTA5 56023,11,89.6,83.2,9.2,10.4,3
ZCTA5 56024,9.8,91.3,85.2,9,8.7,3.7
ZCTA5 56025,4.8,98.2,95.6,8,1.8,3.1
ZCTA5 56026,4.8,93.9,89.5,5.5,6.1,3
ZCTA5 56027,16.6,91,82.2,8.8,9,4.2
ZCTA5 56028,2.3,95.5,88.9,10.6,4.5,3
ZCTA5 56029,8,91.1,77.1,14.4,8.9,2.9
ZCTA5 56031,11.8,89.2,76.6,14.7,10.8,3.6
ZCTA5 56032,9.6,87.6,77.4,11.7,12.4,11.6
ZCTA5 56033,8.3,82.4,73.5,16.5,17.6,13.4
ZCTA5 56034,0.9,91.7,85.9,7,8.3,4.1
ZCTA5 56035,3.7,82,79.2,2.8,18,7.1
ZCTA5 56036,5.4,88.7,83.3,7.4,11.3,2.2
ZCTA5 56037,3.9,91.9,86.9,6.5,8.1,2.3
ZCTA5 56039,5.2,91.8,83.7,9.4,8.2,6.2
ZCTA5 56041,3.1,91.4,84.6,9.8,8.6,4.5
ZCTA5 56042,3,92.5,87.1,6.3,7.5,1.9
ZCTA5 56043,5.8,88.4,87.1,1.3,11.6,3.7
ZCTA5 56044,6.5,91.9,86.4,8.8,8.1,3.7
ZCTA5 56045,10.2,87.5,81.7,7.2,12.5,1.3
ZCTA5 56046,0,82.1,60.7,21.4,17.9,56.2
ZCTA5 56047,9.4,83.8,78.8,5,16.3,7.2
ZCTA5 56048,4.9,97.2,92.6,6.7,2.8,4.3
ZCTA5 56050,11.1,89,80.2,10.8,11,5.7
ZCTA5 56051,11.5,86.9,75.6,14,13.1,5.5
ZCTA5 56052,14.9,93.4,79.6,15,6.6,2
ZCTA5 56054,2.8,92.8,91.8,2.9,7.2,0.8
ZCTA5 56055,4.4,90.8,85.7,7.2,9.2,1
ZCTA5 56056,2.9,86.4,79.5,6.8,13.6,46.4
ZCTA5 56057,8,88.8,84.7,6.1,11.2,3.2
ZCTA5 56058,7.1,95.2,89.7,7.3,4.8,3.1
ZCTA5 56060,5.9,89.7,82.8,8.8,10.3,5.5
ZCTA5 56062,5.7,88.5,80.1,11.8,11.5,2.8
ZCTA5 56063,4.5,93.5,87.8,7.6,6.5,3
ZCTA5 56065,9.9,91.1,86.6,6,8.9,3.1
ZCTA5 56068,3.8,91.9,86.4,6.5,8.1,2.2
ZCTA5 56069,6.7,88.5,85.5,4.5,11.5,3.1
ZCTA5 56071,3.2,94.2,90.4,5.4,5.8,1.6
ZCTA5 56072,5,94.7,87.2,9.1,5.3,3.1
ZCTA5 56073,6.6,93.1,87.1,8.7,6.9,2.1
ZCTA5 56074,8.9,90,84.9,10.8,10,2.8
ZCTA5 56075,9.1,91.5,61.5,36.8,8.5,19.8
ZCTA5 56078,7.5,91.3,88.7,3.3,8.7,8.2
ZCTA5 56080,6.3,91.5,88,5.2,8.5,7.3
ZCTA5 56081,11.7,81.9,77.5,6.5,18.1,4
ZCTA5 56082,10.9,95.1,87.7,9.6,4.9,3.1
ZCTA5 56083,7.4,86.1,80.2,8.7,13.9,4.1
ZCTA5 56085,7,86.7,80.2,7.7,13.3,2.8
ZCTA5 56087,8.1,96.4,87.9,12.2,3.6,3.7
ZCTA5 56088,5.4,87.4,80.4,9.1,12.6,2.4
ZCTA5 56089,19.3,75.9,66.7,11.1,24.1,6.7
ZCTA5 56090,6.9,89.8,83.4,8,10.2,3.1
ZCTA5 56091,10.1,98.6,95.7,9.4,1.4,4.3
ZCTA5 56093,10,90.4,82.9,10.1,9.6,2.4
ZCTA5 56096,7,90.3,79.6,12.7,9.7,2.3
ZCTA5 56097,8.2,91.6,82.9,11.9,8.4,5
ZCTA5 56098,8.6,85.7,77.7,10.7,14.3,5.1
ZCTA5 56101,14.7,92.7,80.3,15.2,7.3,5.1
ZCTA5 56110,5.4,92.8,86.9,9.4,7.2,2.8
ZCTA5 56111,6.3,92.1,90.5,3.6,7.9,4.1
ZCTA5 56113,9.2,78.8,70.7,10.1,21.2,14.3
ZCTA5 56114,2,92.2,89,9.7,7.8,15.2
ZCTA5 56115,3.7,91.2,82.9,11.3,8.8,1.9
ZCTA5 56116,6.3,95.5,90.3,8.1,4.5,6.3
ZCTA5 56117,14.6,85.8,84.3,2.9,14.2,2.5
ZCTA5 56118,9.1,94.7,91,5.9,5.3,8.3
ZCTA5 56119,5.4,96.1,92.6,5.1,3.9,3.7
ZCTA5 56120,11,83.3,75.9,10.1,16.7,3.2
ZCTA5 56121,5.7,87,78.2,12.3,13,3.9
ZCTA5 56122,3.7,92.1,88.6,6.1,7.9,2.9
ZCTA5 56123,5.7,89.2,79,11.3,10.8,3.5
ZCTA5 56125,22.9,40,20,33.3,60,13.6
ZCTA5 56127,3.2,86,81.3,7.8,14,3.7
ZCTA5 56128,5.1,91.8,87.1,5.2,8.2,1.8
ZCTA5 56129,5.1,90.7,83.7,7.8,9.3,4.3
ZCTA5 56131,6.3,91.1,81.7,12.3,8.9,2.4
ZCTA5 56132,2.8,91.9,88.1,6.8,8.1,4.6
ZCTA5 56134,4.6,95.3,87.3,10.8,4.7,3
ZCTA5 56136,2.4,88.6,86.2,2.7,11.4,3
ZCTA5 56137,7.8,90.1,84.4,9.7,9.9,4.3
ZCTA5 56138,7,93.5,86.6,9,6.5,5.5
ZCTA5 56139,6.7,82.2,79.1,6.3,17.8,2.9
ZCTA5 56140,11.5,81.8,81.8,0,18.2,60.4
ZCTA5 56141,5.3,85.9,82.2,8.1,14.1,6.2
ZCTA5 56142,3.4,87.5,80.6,6.8,12.5,2.7
ZCTA5 56143,10.6,88.5,84.6,7.8,11.5,5.2
ZCTA5 56144,6.4,87.4,80.8,10.7,12.6,2.5
ZCTA5 56145,9.5,91.5,86.9,6.4,8.5,5.1
ZCTA5 56146,0,82.8,58.6,24.1,17.2,54.4
ZCTA5 56147,9.4,79.1,76.1,11.9,20.9,8.5
ZCTA5 56149,7.5,91.9,84.1,9.5,8.1,3.3
ZCTA5 56150,3.8,93.8,87.3,8.7,6.2,1.6
ZCTA5 56151,3.8,94.5,88.5,8.5,5.5,3.4
ZCTA5 56152,5.5,88.1,82.5,6.6,11.9,3.8
ZCTA5 56153,0,97.5,94.9,5.1,2.5,25.6
ZCTA5 56155,8.6,90.3,81.5,12.3,9.7,5.1
ZCTA5 56156,8.5,90.9,81.5,12,9.1,4
ZCTA5 56157,2.6,87.7,86.9,3.2,12.3,3.9
ZCTA5 56158,1.9,87.3,82.8,8.8,12.7,7.7
ZCTA5 56159,15.2,89.8,74.9,19,10.2,3.8
ZCTA5 56160,0,95.1,86.6,11,4.9,9.4
ZCTA5 56161,12.3,86.1,68.8,19.7,13.9,4.6
ZCTA5 56162,0,71.5,70.8,1.5,28.5,18.5
ZCTA5 56164,12.6,86.4,77.9,12.3,13.6,3.3
ZCTA5 56165,0.7,84.6,83.7,2.9,15.4,7.2
ZCTA5 56166,10.3,81.7,69.2,14.4,18.3,3.3
ZCTA5 56167,9.7,92.2,85.7,8.4,7.8,4.3
ZCTA5 56168,7.2,91.6,85.3,8.7,8.4,5
ZCTA5 56169,5.2,94.1,92.5,5.2,5.9,4.7
ZCTA5 56170,6.6,84.1,74.9,12.2,15.9,4.5
ZCTA5 56171,6.2,88.8,83.5,7.5,11.2,3.1
ZCTA5 56172,7.1,92.6,87.3,8.6,7.4,3.5
ZCTA5 56173,9.6,96.5,89.4,7.5,3.5,7.6
ZCTA5 56174,15.5,86,73.5,14,14,2.7
ZCTA5 56175,13.1,89.6,79,12.8,10.4,4.4
ZCTA5 56176,6.1,90.4,81,14.4,9.6,1.8
ZCTA5 56177,9.5,66.7,66.7,0,33.3,60.4
ZCTA5 56178,4.2,93,87,8.9,7,3.5
ZCTA5 56180,20.7,85.1,74.3,17.5,14.9,5.5
ZCTA5 56181,7,88.9,78.2,15.6,11.1,5.1
ZCTA5 56183,8.4,92.8,81.4,14.3,7.2,2.5
ZCTA5 56185,9.7,83.7,76.6,9.9,16.3,5.3
ZCTA5 56186,6.1,78.1,70.1,8,21.9,7.9
ZCTA5 56187,13.9,81.9,73.3,12.4,18.1,2.9
ZCTA5 56201,15.4,90.1,77,15.6,9.9,2.8
ZCTA5 56207,8.9,98.8,82.7,17.3,1.2,26.3
ZCTA5 56208,12.9,90.8,83.5,10.9,9.2,5.3
ZCTA5 56209,6.3,87.6,81.9,9.5,12.4,3.8
ZCTA5 56210,0,100,71.4,28.6,0,100
ZCTA5 56211,6.3,95.1,90.1,8.5,4.9,3.5
ZCTA5 56212,2.4,89.4,82.2,8.7,10.6,2.5
ZCTA5 56214,3.4,90.2,85.9,9.2,9.8,2.5
ZCTA5 56215,8.2,91.8,82.9,11.6,8.2,1.9
ZCTA5 56216,4.6,91.9,84.6,11,8.1,3.6
ZCTA5 56218,8.8,95.1,84.9,14.3,4.9,5.8
ZCTA5 56219,14.9,81.3,73.7,11.9,18.7,5.1
ZCTA5 56220,9.4,93.7,84.1,13.8,6.3,3.7
ZCTA5 56221,7.5,94.6,89.2,9.1,5.4,6.7
ZCTA5 56222,5.1,87.2,80.7,8.5,12.8,4.7
ZCTA5 56223,4.5,88.8,79.8,11.3,11.2,3.4
ZCTA5 56224,4.5,88.9,82.8,8.9,11.1,5.1
ZCTA5 56225,4.7,91.2,86.1,11.4,8.8,6.7
ZCTA5 56226,2.5,89.1,81,13.6,10.9,19.7
ZCTA5 56227,3.8,97.8,95.5,4.5,2.2,8.6
ZCTA5 56228,8.7,84.8,79,7.1,15.2,2
ZCTA5 56229,8.8,91.6,87.6,6.3,8.4,2.2
ZCTA5 56230,5.4,91.9,82.7,10.5,8.1,7.5
ZCTA5 56231,7.3,98.4,95.7,5.3,1.6,5.4
ZCTA5 56232,8.1,93.7,86.1,11.5,6.3,1.6
ZCTA5 56235,3.3,98.2,93,6.3,1.8,1.8
ZCTA5 56236,3,97,90.4,8.4,3,3.4
ZCTA5 56237,4.9,91.9,78.5,15.4,8.1,6.4
ZCTA5 56239,3.5,93.4,88.9,6.3,6.6,2.5
ZCTA5 56240,7.2,98.1,88.3,11.7,1.9,5.4
ZCTA5 56241,4.8,86.9,80.6,7.8,13.1,4.2
ZCTA5 56243,8.5,91.4,86.9,8.8,8.6,3.5
ZCTA5 56244,7.4,89.8,78,13.4,10.2,2.3
ZCTA5 56245,1,83.5,77.4,9.7,16.5,5.8
ZCTA5 56248,8.2,91.6,78.8,14.5,8.4,5
ZCTA5 56249,4.3,94.4,91.3,8.8,5.6,4.2
ZCTA5 56251,8.2,92.2,82,14,7.8,2.1
ZCTA5 56252,10,95.6,82.8,15.2,4.4,5.4
ZCTA5 56253,5.8,91.8,81.9,14.2,8.2,2.3
ZCTA5 56255,2.7,85.7,77.4,8.9,14.3,3.6
ZCTA5 56256,4.8,93.9,84.8,11.9,6.1,2
ZCTA5 56257,19.1,90.9,84.8,7.9,9.1,2.8
ZCTA5 56258,11.1,92,85.2,8.8,8,3.1
ZCTA5 56260,7.3,88,80.7,9.8,12,5.9
ZCTA5 56262,8.4,84.7,75.7,9.3,15.3,8.5
ZCTA5 56263,1.9,93.9,91.2,3.4,6.1,5.9
ZCTA5 56264,4.6,95.6,90,8.5,4.4,2.7
ZCTA5 56265,7.5,85.5,78.1,10.1,14.5,3.9
ZCTA5 56266,7.3,91.9,87.2,5.7,8.1,4.3
ZCTA5 56267,6.6,94.3,89,11.2,5.7,2.5
ZCTA5 56270,6.5,83.6,79.2,5.5,16.4,5.5
ZCTA5 56271,5.7,82.6,76.3,9.1,17.4,4.9
ZCTA5 56273,3.7,94.6,89.3,7.1,5.4,1.6
ZCTA5 56274,3.4,98.1,90.7,9.3,1.9,5.6
ZCTA5 56276,2.9,81.9,79.4,3.1,18.1,6
ZCTA5 56277,8.1,86.9,83.3,6.8,13.1,4.8
ZCTA5 56278,13,94.5,87.4,9.5,5.5,4.3
ZCTA5 56279,7.6,91.6,80.9,16.1,8.4,3.4
ZCTA5 56280,2.8,94.9,93.1,3.6,5.1,2.4
ZCTA5 56281,2.8,99.7,93.9,10.5,0.3,2.7
ZCTA5 56282,7.1,92.2,84.1,9,7.8,3.3
ZCTA5 56283,7.2,92.7,84.2,15.4,7.3,2.7
ZCTA5 56284,8.1,95.1,90,8.7,4.9,4.5
ZCTA5 56285,13.1,96.1,86.3,14,3.9,6.3
ZCTA5 56287,7.4,65.6,65.6,3.1,34.4,13.2
ZCTA5 56288,6.9,93.2,86.4,9.9,6.8,0.9
ZCTA5 56289,0.4,92.8,88.6,5.7,7.2,2.5
ZCTA5 56291,3.2,96.2,94.4,4.2,3.8,6.2
ZCTA5 56292,9,89.5,76.7,15.9,10.5,6.5
ZCTA5 56293,2.1,94.5,91.3,6.3,5.5,1.4
ZCTA5 56294,16.7,97.1,85.3,11.8,2.9,48.7
ZCTA5 56295,3.5,76.9,66.3,15,23.1,3.5
ZCTA5 56296,9.3,96.8,82.2,18.5,3.2,2.3
ZCTA5 56297,3.7,95.4,92.3,5.1,4.6,1.7
ZCTA5 56301,11.1,92.8,84,10.9,7.2,2.1
ZCTA5 56303,12.7,86.8,77.2,12.7,13.2,2.9
ZCTA5 56304,17.4,86.5,74.3,15.3,13.5,5
ZCTA5 56307,4.7,93.7,87.9,7.2,6.3,1.7
ZCTA5 56308,9.5,88.7,81.1,11.3,11.3,2.2
ZCTA5 56309,5.1,93.6,84.8,12.9,6.4,2.4
ZCTA5 56310,3.1,96.1,93.8,6.2,3.9,2.5
ZCTA5 56311,8.6,92.8,72.3,24.7,7.2,4.4
ZCTA5 56312,6.4,86.3,78.3,9.3,13.7,3.7
ZCTA5 56313,32.6,86.4,61.4,25,13.6,34.7
ZCTA5 56314,6.9,91.1,84.4,10.9,8.9,3.5
ZCTA5 56315,6.3,96.3,91.5,9.5,3.8,2.6
ZCTA5 56316,8.1,84.8,77.3,9.7,15.2,2.7
ZCTA5 56318,3.5,93.7,87.5,8.8,6.3,2.7
ZCTA5 56319,7.1,88.9,80.8,10.5,11.1,4.2
ZCTA5 56320,6.5,94.9,91.5,5.4,5.1,3.2
ZCTA5 56321,9999999.99,97.1,94.5,2.8,2.9,9999999.99
ZCTA5 56323,10.9,80.9,71,13,19.1,6.6
ZCTA5 56324,9.1,88.7,80.8,11.3,11.3,2.9
ZCTA5 56325,2.7,98.6,91.7,8.3,1.4,8.7
ZCTA5 56326,9.5,89.2,79.8,11.5,10.8,3.7
ZCTA5 56327,4.4,98.9,90.8,10.9,1.1,2.9
ZCTA5 56328,9.5,85,85,5,15,20.9
ZCTA5 56329,7.3,91.5,86.2,8.7,8.5,2.1
ZCTA5 56330,7,90.8,84.9,11.4,9.2,3.8
ZCTA5 56331,1.8,95.7,92.4,5.2,4.3,1.9
ZCTA5 56332,1.5,91.3,89.8,2.4,8.7,2.2
ZCTA5 56334,5.8,90.8,84.1,9.7,9.2,3.5
ZCTA5 56335,1.1,97.4,96.6,1.7,2.6,6.2
ZCTA5 56336,5.7,94.4,88.2,9.9,5.6,2.2
ZCTA5 56338,7,89.7,83.3,11.6,10.3,1.9
ZCTA5 56339,11,95.6,84.3,17.7,4.4,6.9
ZCTA5 56340,3.9,97.3,93.6,4.9,2.7,2.6
ZCTA5 56342,9.7,86.1,77.3,15.1,13.9,2.6
ZCTA5 56343,9,88.6,82.4,9,11.4,4
ZCTA5 56345,11.8,88.4,76,17.1,11.6,2.2
ZCTA5 56347,10.2,89.2,79.5,13.7,10.8,3.9
ZCTA5 56349,5,88.6,83.5,10.7,11.4,2.6
ZCTA5 56350,12.8,83.7,68.5,16.3,16.3,7.1
ZCTA5 56352,8.6,89.9,84,9.8,10.1,3.5
ZCTA5 56353,7.9,90.1,83.3,11.6,9.9,2.9
ZCTA5 56354,5.6,86.3,74.5,14.1,13.7,3.7
ZCTA5 56355,8,82.7,72.2,13.3,17.3,2.9
ZCTA5 56356,6.9,91.9,87.5,7.4,8.1,10.5
ZCTA5 56357,3.9,92,84.6,11.2,8,4
ZCTA5 56358,10.9,86.9,77.1,12.3,13.1,3.8
ZCTA5 56359,16.5,89.7,80,12.1,10.3,3.5
ZCTA5 56360,6.4,87.6,79.2,10.9,12.4,2.5
ZCTA5 56361,5.1,85.7,71.7,16.1,14.3,2.9
ZCTA5 56362,8,91.9,85.5,8.7,8.1,2.6
